Gender,ageGroup,migrantStock
Male,0-4,4237565
Male,05-9,5148784
Male,10-14,5288849
Male,15-19,6461852
Male,20-24,10118188
Male,25-29,14159198
Male,30-34,16050261
Male,35-39,15753005
Male,40-44,14253606
Male,45-49,12592956
Male,50-54,10669236
Male,55-59,8792385
Male,60-64,6859059
Male,65-69,5169015
Male,70-74,3846137
Male,75+,6255748
Female,0-4,3989013
Female,05-9,4820375
Female,10-14,4923785
Female,15-19,6067985
Female,20-24,9023518
Female,25-29,12156211
Female,30-34,13476747
Female,35-39,13442369
Female,40-44,12331582
Female,45-49,10864220
Female,50-54,9485189
Female,55-59,8299468
Female,60-64,7038905
Female,65-69,5745085
Female,70-74,4525479
Female,75+,8752330
